t,X,Y,Z,p
0.0,970061.6227529575,5624250.967482469,2847045.047559735,20714615.349911183
5.0,970048.5768641311,5624255.721289291,2847040.10159122,20712762.228186402
10.0,970035.9345194655,5624261.253590906,2847033.480150347,20710912.212289892
15.0,970024.1792250281,5624267.397971568,2847025.3472410366,20709065.26100631
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20707221.41370905
25.0,970004.7908347913,5624280.579888772,2847005.912260029,20705380.786449447
30.0,969997.5475871771,5624287.0773357265,2846995.5443219817,20703543.56060844
35.0,969991.9329240004,5624293.159549881,2846985.4417440887,20701709.965239532
40.0,969987.7424368545,5624298.606284364,2846976.109290349,20699880.254841335
45.0,969984.6323074495,5624303.259496276,2846967.976340257,20698054.684735782
50.0,969982.1529623299,5624307.038816578,2846961.354857643,20696233.486452766
55.0,969979.7930801677,5624309.949416664,2846956.4088529483,20694416.845513314
60.0,969977.0296438242,5624312.081501677,2846953.138328346,20692604.883761197
65.0,969973.3791374961,5624313.6014802,2846951.3792773853,20690797.64794383
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20688995.105629466
75.0,969961.9558407137,5624315.748168102,2846951.030335775,20687197.148831308
80.0,969953.7931976983,5624316.914952638,2846951.5063026706,20685403.604958706
85.0,969944.0019402265,5624318.496915406,2846951.71689922,20683614.254005086
90.0,969932.7864784205,5624320.714300946,2846951.157361064,20681828.850280244
95.0,969920.4906308702,5624323.725152904,2846949.3983097994,20680047.14655912
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20678268.91829221
105.0,969894.5178122438,5624332.363209778,2846941.181771916,20676493.985525414
110.0,969881.8751741345,5624337.895052834,2846934.560273795,20674722.230408303
115.0,969870.1195706854,5624344.038973613,2846926.427294169,20672953.6086061
120.0,969859.6476896355,5624350.568657926,2846917.094792294,20671188.15352925
125.0,969850.7305606109,5624357.220030231,2846906.992145132,20669425.972996034
130.0,969843.4870245769,5624363.717103002,2846896.6241174466,20667667.238680128
135.0,969837.8721000296,5624369.798992081,2846886.521452211,20665912.169394724
140.0,969833.6813850127,5624375.245453557,2846877.1889177863,20664161.00985907
145.0,969830.5710644085,5624379.898442392,2846869.05589738,20662414.007026646
150.0,969828.0915643425,5624383.677582517,2846862.4343575197,20660671.386282716
155.0,969825.7315595208,5624386.588034108,2846857.4883100647,20658933.32982347
160.0,969822.9680256773,5624388.719987976,2846854.217757187,20657199.959308438
165.0,969819.3174374189,5624390.239836682,2846852.458691018,20655471.324455112
170.0,969814.3830995625,5624391.373886653,2846851.899148009,20653747.3986613
175.0,969807.8939785949,5624392.38620576,2846852.1097463914,20652028.08205432
180.0,969799.7312330633,5624393.552774772,2846852.5857174015,20650313.21164319
185.0,969789.9398460281,5624395.1344729075,2846852.7963157715,20648602.577561494
190.0,969778.7242211606,5624397.3515417455,2846852.2367727784,20646895.94380068
195.0,969766.4281738803,5624400.362027072,2846850.4777063057,20645193.07140392
200.0,969753.501276383,5624404.24630879,2846847.207151424,20643493.74185883
205.0,969740.4548510063,5624408.999233189,2846842.2610973865,20641797.778417204
210.0,969727.8119194738,5624414.530617676,2846835.63954202,20640105.063279554
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20638415.548991717
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20636729.26296917
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20635046.30473603
230.0,969689.4225527241,5624440.350973132,2846797.7030577003,20633366.83617444
235.0,969683.8073668219,5624446.432537124,2846787.6003051237,20631691.06575774
240.0,969679.6164239477,5624451.878725582,2846778.267690018,20630019.228320647
245.0,969676.5059121551,5624456.531491329,2846770.1345993,20628351.562347423
250.0,969674.0262571523,5624460.310451274,2846763.513002196,20626688.286991782
255.0,969671.666129678,5624463.220754362,2846758.566911981,20625029.581060313
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20623375.565991625
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20621726.294467956
270.0,969660.317412833,5624468.006201287,2846752.977701606,20620081.74574286
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20618441.82811262
280.0,969645.6653592647,5624470.184699697,2846753.664276934,20616806.38826378
285.0,969635.8738426759,5624471.766133191,2846753.8748771255,20615175.22656296
290.0,969624.6580547598,5624473.982885321,2846753.3153292947,20613548.116782036
295.0,969612.3618077637,5624476.993004004,2846751.556247615,20611924.828327056
300.0,969599.4346743015,5624480.876876171,2846748.2856644588,20610305.148803964
