t,X,Y,Z,p
0.0,970061.6227529575,5624250.967482469,2847045.047559735,20562577.307839114
5.0,970048.5768641311,5624255.721289291,2847040.10159122,20560781.96809108
10.0,970035.9345194655,5624261.253590906,2847033.480150347,20558989.922193326
15.0,970024.1792250281,5624267.397971568,2847025.3472410366,20557201.255404335
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20555416.11456056
25.0,970004.7908347913,5624280.579888772,2847005.912260029,20553634.69364125
30.0,969997.5475871771,5624287.0773357265,2846995.5443219817,20551857.21478802
35.0,969991.9329240004,5624293.159549881,2846985.4417440887,20550083.906655617
40.0,969987.7424368545,5624298.606284364,2846976.109290349,20548314.982222646
45.0,969984.6323074495,5624303.259496276,2846967.976340257,20546550.618234724
50.0,969982.1529623299,5624307.038816578,2846961.354857643,20544790.938282683
55.0,969979.7930801677,5624309.949416664,2846956.4088529483,20543036.001154285
60.0,969977.0296438242,5624312.081501677,2846953.138328346,20541285.795574374
65.0,969973.3791374961,5624313.6014802,2846951.3792773853,20539540.24181895
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20537799.200013917
75.0,969961.9558407137,5624315.748168102,2846951.030335775,20536062.484276444
80.0,969953.7931976983,5624316.914952638,2846951.5063026706,20534329.881289463
85.0,969944.0019402265,5624318.496915406,2846951.71689922,20532601.171472568
90.0,969932.7864784205,5624320.714300946,2846951.157361064,20530876.150667183
95.0,969920.4906308702,5624323.725152904,2846949.3983097994,20529154.65021309
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20527436.553460702
105.0,969894.5178122438,5624332.363209778,2846941.181771916,20525721.80712073
110.0,969881.8751741345,5624337.895052834,2846934.560273795,20524010.426365674
115.0,969870.1195706854,5624344.038973613,2846926.427294169,20522302.49321321
120.0,969859.6476896355,5624350.568657926,2846917.094792294,20520598.14838123
125.0,969850.7305606109,5624357.220030231,2846906.992145132,20518897.577441465
130.0,969843.4870245769,5624363.717103002,2846896.6241174466,20517200.992652673
135.0,969837.8721000296,5624369.798992081,2846886.521452211,20515508.61227022
140.0,969833.6813850127,5624375.245453557,2846877.1889177863,20513820.639367234
145.0,969830.5710644085,5624379.898442392,2846869.05589738,20512137.2422407
150.0,969828.0915643425,5624383.677582517,2846862.4343575197,20510458.538310885
155.0,969825.7315595208,5624386.588034108,2846857.4883100647,20508784.583071817
160.0,969822.9680256773,5624388.719987976,2846854.217757187,20507115.365149077
165.0,969819.3174374189,5624390.239836682,2846852.458691018,20505450.807918813
170.0,969814.3830995625,5624391.373886653,2846851.899148009,20503790.777498078
175.0,969807.8939785949,5624392.38620576,2846852.1097463914,20502135.096294254
180.0,969799.7312330633,5624393.552774772,2846852.5857174015,20500483.560761902
185.0,969789.9398460281,5624395.1344729075,2846852.7963157715,20498835.961610097
190.0,969778.7242211606,5624397.3515417455,2846852.2367727784,20497192.104472365
195.0,969766.4281738803,5624400.362027072,2846850.4777063057,20495551.82901585
200.0,969753.501276383,5624404.24630879,2846847.207151424,20493915.024628665
205.0,969740.4548510063,5624408.999233189,2846842.2610973865,20492281.64116821
210.0,969727.8119194738,5624414.530617676,2846835.63954202,20490651.693743855
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20489025.261095677
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20487402.47775959
