t,X,Y,Z,p
0.0,970061.6227529575,5624250.967482469,2847045.047559735,20649911.19008877
5.0,970048.5768641311,5624255.721289291,2847040.10159122,20648072.796686444
10.0,970035.9345194655,5624261.253590906,2847033.480150347,20646237.57015874
15.0,970024.1792250281,5624267.397971568,2847025.3472410366,20644405.500903644
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20642576.65565757
25.0,970004.7908347913,5624280.579888772,2847005.912260029,20640751.170904987
30.0,969997.5475871771,5624287.0773357265,2846995.5443219817,20638929.23952913
35.0,969991.9329240004,5624293.159549881,2846985.4417440887,20637111.092028882
40.0,969987.7424368545,5624298.606284364,2846976.109290349,20635296.97415005
45.0,969984.6323074495,5624303.259496276,2846967.976340257,20633487.123121038
50.0,969982.1529623299,5624307.038816578,2846961.354857643,20631681.744809885
55.0,969979.7930801677,5624309.949416664,2846956.4088529483,20629880.994020812
60.0,969977.0296438242,5624312.081501677,2846953.138328346,20628084.95983436
65.0,969973.3791374961,5624313.6014802,2846951.3792773853,20626293.657396965
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20624507.02693295
75.0,969961.9558407137,5624315.748168102,2846951.030335775,20622724.940046273
80.0,969953.7931976983,5624316.914952638,2846951.5063026706,20620947.212670054
85.0,969944.0019402265,5624318.496915406,2846951.71689922,20619173.62337784
90.0,969932.7864784205,5624320.714300946,2846951.157361064,20617403.93525433
95.0,969920.4906308702,5624323.725152904,2846949.3983097994,20615637.91918402
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20613875.376287553
105.0,969894.5178122438,5624332.363209778,2846941.181771916,20612116.15732702
110.0,969881.8751741345,5624337.895052834,2846934.560273795,20610360.177205786
115.0,969870.1195706854,5624344.038973613,2846926.427294169,20608607.42317258
120.0,969859.6476896355,5624350.568657926,2846917.094792294,20606857.955957983
125.0,969850.7305606109,5624357.220030231,2846906.992145132,20605111.903761644
130.0,969843.4870245769,5624363.717103002,2846896.6241174466,20603369.449704114
135.0,969837.8721000296,5624369.798992081,2846886.521452211,20601630.8139902
140.0,969833.6813850127,5624375.245453557,2846877.1889177863,20599896.232539788
145.0,969830.5710644085,5624379.898442392,2846869.05589738,20598165.93417805
150.0,969828.0915643425,5624383.677582517,2846862.4343575197,20596440.11860887
155.0,969825.7315595208,5624386.588034108,2846857.4883100647,20594718.9373093
160.0,969822.9680256773,5624388.719987976,2846854.217757187,20593002.479190644
165.0,969819.3174374189,5624390.239836682,2846852.458691018,20591290.762400117
170.0,969814.3830995625,5624391.373886653,2846851.899148009,20589583.73303476
175.0,969807.8939785949,5624392.38620576,2846852.1097463914,20587881.270863667
180.0,969799.7312330633,5624393.552774772,2846852.5857174015,20586183.201473165
185.0,969789.9398460281,5624395.1344729075,2846852.7963157715,20584489.31362726
190.0,969778.7242211606,5624397.3515417455,2846852.2367727784,20582799.380134013
195.0,969766.4281738803,5624400.362027072,2846850.4777063057,20581113.180174712
200.0,969753.501276383,5624404.24630879,2846847.207151424,20579430.52091928
205.0,969740.4548510063,5624408.999233189,2846842.2610973865,20577751.25632994
210.0,969727.8119194738,5624414.530617676,2846835.63954202,20576075.30133757
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20574402.640032485
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20572733.327099428
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20571067.48238607
230.0,969689.4225527241,5624440.350973132,2846797.7030577003,20569405.279162392
235.0,969683.8073668219,5624446.432537124,2846787.6003051237,20567746.927238997
240.0,969679.6164239477,5624451.878725582,2846778.267690018,20566092.65260691
245.0,969676.5059121551,5624456.531491329,2846770.1345993,20564442.67559229
250.0,969674.0262571523,5624460.310451274,2846763.513002196,20562797.18965516
255.0,969671.666129678,5624463.220754362,2846758.566911981,20561156.342889383
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20559520.224009722
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20557888.85416795
270.0,969660.317412833,5624468.006201287,2846752.977701606,20556262.185367968
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20554640.10560488
280.0,969645.6653592647,5624470.184699697,2846753.664276934,20553022.4501995
285.0,969635.8738426759,5624471.766133191,2846753.8748771255,20551409.018199794
290.0,969624.6580547598,5624473.982885321,2846753.3153292947,20549799.59223355
295.0,969612.3618077637,5624476.993004004,2846751.556247615,20548193.95986841
300.0,969599.4346743015,5624480.876876171,2846748.2856644588,20546591.934397507
305.0,969586.3879806775,5624485.62935934,2846743.339567662,20544993.37303404
310.0,969573.7447557413,5624491.160285242,2846736.7179550524,20543398.190759096
315.0,969561.9885343292,5624497.303286206,2846728.584834803,20541806.368496854
320.0,969551.5160264069,5624503.832080361,2846719.252171564,20540217.95484869
325.0,969542.5982846982,5624510.482621571,2846709.149349724,20538633.061246507
330.0,969535.3541718773,5624516.978945931,2846698.781142772,20537051.85102579
335.0,969529.7387246359,5624523.060184824,2846688.6783028585,20535474.52350685
340.0,969525.5475539181,5624528.506100254,2846679.3456070735,20533901.294652864
345.0,969522.4368509486,5624533.158642907,2846671.212446047,20532332.376198433
350.0,969519.9570410174,5624536.937422663,2846664.5907917,20530767.955282442
355.0,969517.5967908981,5624539.847577244,2846659.6446587276,20529208.176560733
360.0,969514.8330620728,5624541.97926881,2846656.3740493017,20527653.128524195
365.0,969511.1823099708,5624543.498857868,2846654.6149527193,20526102.835331697
370.0,969506.2478171838,5624544.632618535,2846654.0554000353,20524557.254925743
375.0,969499.758527101,5624545.644589274,2846654.2660020594,20523016.283585005
380.0,969491.5955765608,5624546.810727226,2846654.7419812987,20521479.766442224
385.0,969481.8039304288,5624548.391896074,2846654.95258331,20519947.512918796
390.0,969470.5879794762,5624550.608331485,2846654.3930306425,20518419.315554805
395.0,969458.291532779,5624553.618083515,2846652.6339337556,20516894.97039064
400.0,969445.364163369,5624557.501546121,2846649.3633223264,20515374.296914212
405.0,969432.3172015161,5624562.253588047,2846644.417182772,20513857.155639432
410.0,969419.6736831957,5624567.784055349,2846637.7955129202,20512343.461620476
415.0,969407.9171528326,5624573.926596385,2846629.662322363,20510833.192609064
420.0,969397.4443315043,5624580.454945439,2846620.329578447,20509326.391088236
425.0,969388.5262834823,5624587.105071078,2846610.226669272,20507823.16001382
430.0,969381.2818822946,5624593.601021215,2846599.858372692,20506323.65270689
435.0,969375.6661737302,5624599.681934999,2846589.7554454445,20504828.057905644
440.0,969371.474775182,5624605.12757739,2846580.4226689828,20503336.581450384
445.0,969368.3638810464,5624609.779896938,2846572.2894376493,20501849.426395014
450.0,969365.8839161965,5624613.558496499,2846565.6677260622,20500366.773482457
455.0,969363.5235434396,5624616.468502567,2846560.721550334,20498888.763877004
460.0,969360.7597171324,5624618.600062975,2846557.450912636,20497415.485818375
465.0,969357.108883117,5624620.119522204,2846555.6918008467,20495946.966473743
470.0,969352.1743128732,5624621.253138213,2846555.132243326,20494483.169753525
475.0,969345.6849382427,5624622.264934761,2846555.3428471703,20493024.000274155
480.0,969337.5218852104,5624623.430857174,2846555.8188305246,20491569.313053794
485.0,969327.730109545,5624625.011761369,2846556.0294343564,20490118.927972626
490.0,969316.5139955682,5624627.227880054,2846555.469876852,20488672.647571664
495.0,969304.2173491844,5624630.237265421,2846553.7107647583,20487230.276447088
500.0,969291.2897438434,5624634.120318455,2846550.440125057,20485791.640350882
505.0,969278.2425137801,5624638.871919124,2846545.4939427464,20484356.603146195
510.0,969265.5987020954,5624644.401927813,2846538.872215655,20482925.079983287
515.0,969253.8418628015,5624650.544008906,2846530.7389547923,20481497.045436583
520.0,969243.3687280873,5624657.071912844,2846521.4061302016,20480072.535838403
525.0,969234.4503737714,5624663.721622899,2846511.303133695,20478651.645611744
530.0,969227.2056842347,5624670.2171988,2846500.934747489,20477234.517987538
535.0,969221.5897143625,5624676.29778746,2846490.8317329106,20475821.331034336
540.0,969217.3980879978,5624681.743156802,2846481.498875776,20474412.2803787
545.0,969214.287002708,5624686.395253238,2846473.3655741382,20473007.560308203
550.0,969211.8068829479,5624690.173672597,2846466.7438053126,20471607.345097523
555.0,969209.4463875607,5624693.083530148,2846461.797586829,20470211.77236723
560.0,969206.6824637777,5624695.214959392,2846458.5269208597,20468820.93007859
565.0,969203.0315478543,5624696.7342887875,2846456.7677938654,20467434.848407
570.0,969198.0969001595,5624697.867760136,2846456.2082315073,20466053.497257613
575.0,969191.6074409878,5624698.879382487,2846456.4188371724,20464676.789635368
580.0,969183.4442854716,5624700.045089357,2846456.894824641,20463304.590513315
585.0,969173.6523802833,5624701.625728894,2846457.1054302934,20461936.73031153
590.0,969162.4361032944,5624703.841530843,2846456.545867952,20460573.02165656
595.0,969150.1392572388,5624706.850549538,2846454.7867406528,20459213.277780082
600.0,969137.2114159833,5624710.733192988,2846451.5160726802,20457857.33076495
605.0,969124.1639177284,5624715.4843523875,2846446.569847615,20456505.04787088
610.0,969111.5198126989,5624721.01390245,2846439.948063286,20455156.344367374
615.0,969099.7626644947,5624727.155523584,2846431.8147321194,20453811.191648122
620.0,969089.2892164144,5624733.682982391,2846422.481826857,20452469.61986507
625.0,969080.3705558239,5624740.33227685,2846412.3787430217,20451131.71485528
630.0,969073.1255779559,5624746.827478499,2846402.0102671944,20449797.609687984
635.0,969067.509346792,5624752.907742024,2846391.9071652875,20448467.4716791
640.0,969063.3174926243,5624758.352838309,2846382.574227482,20447141.486154772
645.0,969060.2062161908,5624763.004711623,2846374.4408555427,20445819.83855421
650.0,969057.7259415302,5624766.782950773,2846367.8190294807,20444502.696614206
655.0,969055.3653235199,5624769.692659799,2846362.872768244,20443190.19436087
660.0,969052.6013022673,5624771.823957878,2846359.6020740042,20441882.419449747
665.0,969048.9503044414,5624773.343157435,2846357.8429318047,20440579.405063108
670.0,969044.0155793013,5624774.476484118,2846357.28336461,20439281.12712509
675.0,969037.526035595,5624775.487932269,2846357.493972095,20437987.507076412
680.0,969029.3627776032,5624776.653423591,2846357.9699636777,20436698.419910327
685.0,969019.5707429014,5624778.233798461,2846358.180571151,20435413.70666357
690.0,969008.354302913,5624780.449283666,2846357.6210039724,20434133.190128736
695.0,968996.0572572,5624783.457935679,2846355.8618614683,20432856.69224918
700.0,968983.129180047,5624787.340169533,2846352.5911652255,20431584.05150295
705.0,968970.0814136188,5624792.090887651,2846347.6448974074,20430315.13859241
710.0,968957.4370152648,5624797.619979071,2846341.023055842,20429049.86892951
715.0,968945.6795581704,5624803.761140235,2846332.889654375,20427788.210725307
720.0,968935.2057967444,5624810.288153897,2846323.556668444,20426530.187924456
725.0,968926.286829898,5624816.9370327415,2846313.4534972827,20425275.877728637
730.0,968919.0415637167,5624823.431860129,2846303.084931836,20424025.402978275
